predicted,test
8.65372295317867,8.2
7.928973166162874,5.75
13.07526226328407,12.37
7.403709681732555,6.68
8.94238959906055,9.36
7.442365705469789,7.81
8.94238959906055,9.45
87.53765531592526,99.99
5.568440116244944,5.82
9.816413553865253,9.59
29.885212391200714,18.57
10.33906783079624,11.91
7.928973166162874,8.63
9.816413553865253,11.1
7.938334025210264,7.9
7.729044751571885,9.72
14.131194229053321,10.37
5.845962036792073,7.42
8.838500991560442,7.84
8.647158116039071,7.56
8.65372295317867,5.89
9.690532422121123,7.94
9.709254301216674,8.68
8.65372295317867,6.38
10.33906783079624,8.74
10.33906783079624,8.41
19.700047973042423,17.43
9.709254301216674,9.27
8.838500991560442,9.27
7.403709681732555,7.08
11.004325903428487,9.61
10.33906783079624,10.75
7.403709681732555,9.13
6.847809030818327,6.52
7.241809707992592,9.41
7.998970765669115,6.74
8.65372295317867,9.75
7.403709681732555,7.59
8.838500991560442,9.59
8.907936256119061,9.14
21.346573148999695,30.03
5.845962036792073,4.32
8.65372295317867,8.8
8.314800529814553,9.93
6.818063356781513,7.25
8.229357448427328,10.43
7.471160287870616,7.47
10.33906783079624,10.63
8.65372295317867,8.74
11.004325903428487,11.21
7.196060158230625,6.52
8.261845612870081,8.63
8.94238959906055,13.1
8.94238959906055,7.76
9.690532422121123,6.23
6.847809030818327,5.19
11.83457104214841,10.23
10.33906783079624,10.61
10.33906783079624,9.62
6.847809030818327,5.17
11.83457104214841,10.1
10.063157757789321,14.91
55.88523590657188,14.5
6.654232682963933,7.13
9.690532422121123,9.58
8.65372295317867,9.63
7.928973166162874,5.96
8.907936256119061,10.16
5.845962036792073,6.68
25.497788692427594,11.44
10.33906783079624,9.9
8.65372295317867,8.51
8.94238959906055,11.21
73.86012171575376,100.02
7.928973166162874,6.54
8.94238959906055,8.8
8.359532448427327,8.53
7.196060158230625,6.68
10.33906783079624,9.84
4.908717361832286,5.55
8.65372295317867,9.41
8.229357448427328,6.16
7.196060158230625,8.08
7.196060158230625,6.31
9.816413553865253,10.4
13.03436876794398,7.93
11.952130149997286,11.66
7.852588843319505,7.25
11.625292905832149,12.33
10.063157757789321,6.69
7.938334025210264,8.2
8.94238959906055,7.01
8.65372295317867,9.17
8.012574554436396,8.46
8.40933158718874,7.13
8.94238959906055,10.38
10.063157757789321,7.35
8.40933158718874,8.74
7.403709681732555,7.92
7.196060158230625,6.92
11.80547562842682,10.85
8.359532448427327,8.1
7.403709681732555,6.38
8.647158116039071,9.05
13.07526226328407,14.81
8.907936256119061,7.93
11.625292905832149,10.83
9.816413553865253,7.97
6.818063356781513,7.35
10.063157757789321,9.76
21.346573148999695,12.05
7.729044751571885,8.47
8.647158116039071,6.98
9.690532422121123,8.06
14.131194229053321,12.27
8.907936256119061,14.28
11.749349639187525,13.73
9.816413553865253,9.33
10.33906783079624,10.61
8.261845612870081,9.59
10.33906783079624,10.32
11.952130149997286,25.02
8.907936256119061,10.09
10.33906783079624,14.64
8.65372295317867,10.61
7.729044751571885,5.75
10.33906783079624,11.31
8.94238959906055,8.5
8.94238959906055,7.79
8.94238959906055,8.77
5.624792685669205,6.09
8.838500991560442,8.79
18.944467698023526,23.87
15.390599153045747,15.0
8.94238959906055,10.65
7.422048336690772,7.53
7.729044751571885,5.65
13.531362712763322,15.27
10.063157757789321,10.05
8.130850338311795,9.79
8.94238959906055,10.34
7.729044751571885,9.83
8.314800529814553,8.92
10.33906783079624,11.21
13.07526226328407,10.47
7.196060158230625,7.47
7.196060158230625,6.61
8.359532448427327,8.09
8.94238959906055,7.84
13.07526226328407,13.76
8.65372295317867,7.97
9.722593065450084,8.79
9.816413553865253,9.91
8.261845612870081,6.56
13.531362712763322,11.81
11.83457104214841,11.05
6.847809030818327,6.06
7.442365705469789,6.92
8.221011026403916,8.16
5.293904031143966,4.7
12.340301130079297,10.56
23.177253952123586,36.2
10.063157757789321,8.75
6.847809030818327,6.73
10.063157757789321,10.52
8.314800529814553,7.11
10.063157757789321,7.51
9.690532422121123,9.8
6.847809030818327,7.76
8.94238959906055,8.88
8.65372295317867,6.47
11.80547562842682,10.57
13.531362712763322,11.18
10.063157757789321,14.03
6.847809030818327,9.05
10.33906783079624,10.66
8.94238959906055,8.82
7.442365705469789,6.52
14.131194229053321,14.29
10.063157757789321,9.03
9.743739449869253,11.87
11.625292905832149,20.0
6.847809030818327,7.02
13.823934147074361,13.69
8.65372295317867,7.64
10.33906783079624,9.57
9.690532422121123,7.13
8.94238959906055,10.06
8.0875827440554,8.1
11.004325903428487,10.47
6.847809030818327,8.72
8.261845612870081,9.9
10.207087734522977,10.03
10.063157757789321,8.35
7.403709681732555,8.18
7.196060158230625,5.66
8.907936256119061,8.32
8.65372295317867,8.83
7.998970765669115,9.67
8.314800529814553,7.85
23.177253952123586,40.0
9.690532422121123,9.65
10.063157757789321,10.79
8.907936256119061,7.43
5.675107816297824,5.03
11.952130149997286,11.75
9.709254301216674,9.43
6.847809030818327,6.76
7.196060158230625,6.72
5.624792685669205,4.86
9.709254301216674,10.44
7.422048336690772,7.15
6.847809030818327,4.53
7.196060158230625,6.76
8.221011026403916,8.52
7.938334025210264,7.99
7.471160287870616,6.68
13.03436876794398,15.45
11.952130149997286,9.98
18.967525555321114,18.57
9.722593065450084,12.59
8.838500991560442,7.83
13.531362712763322,13.68
11.004325903428487,10.32
8.314800529814553,7.77
7.422048336690772,6.86
8.838500991560442,8.92
10.33906783079624,10.79
7.403709681732555,8.89
8.907936256119061,8.32
9.722593065450084,8.49
11.952130149997286,11.88
8.94238959906055,9.65
8.94238959906055,6.51
9.672293146801842,6.85
7.442365705469789,7.42
8.838500991560442,8.77
6.847809030818327,7.61
8.838500991560442,9.13
5.624792685669205,4.55
10.063157757789321,8.78
8.65372295317867,6.91
10.33906783079624,8.01
10.33906783079624,13.73
8.94238959906055,9.58
4.908717361832286,4.2
8.94238959906055,7.84
8.907936256119061,10.11
7.442365705469789,7.43
13.07526226328407,10.48
13.03436876794398,11.13
7.403709681732555,7.93
5.293904031143966,4.19
8.907936256119061,9.72
7.729044751571885,7.23
6.847809030818327,6.02
7.876390583580291,7.7
8.65372295317867,6.87
10.33906783079624,9.1
6.359513397379527,4.32
9.332843157020404,10.24
10.33906783079624,10.54
6.847809030818327,6.33
13.531362712763322,11.92
22.182175173476942,18.25
7.729044751571885,7.87
5.079606802827991,6.68
6.847809030818327,10.91
13.531362712763322,10.89
8.37238819504188,8.28
5.624792685669205,5.09
8.314800529814553,13.5
6.847809030818327,7.82
10.33906783079624,10.01
9.690532422121123,10.56
8.647158116039071,10.47
23.177253952123586,15.0
8.221011026403916,6.76
10.33906783079624,10.62
8.314800529814553,7.84
8.359532448427327,9.38
8.314800529814553,8.72
11.749349639187525,10.3
8.94238959906055,12.43
8.314800529814553,5.23
8.94238959906055,7.64
11.774241229453144,12.99
7.196060158230625,7.14
13.07526226328407,14.81
8.308166063547812,8.76
7.928973166162874,7.48
10.33906783079624,10.6
11.625292905832149,10.76
6.359513397379527,5.07
7.422048336690772,6.66
11.952130149997286,10.12
8.838500991560442,9.32
10.33906783079624,9.4
13.531362712763322,10.5
7.442365705469789,9.12
6.847809030818327,6.31
55.88523590657188,15.23
8.314800529814553,8.92
8.94238959906055,8.72
7.729044751571885,7.7
7.471160287870616,10.04
10.33906783079624,13.73
8.0875827440554,10.11
8.314800529814553,9.0
6.847809030818327,7.93
11.80547562842682,12.77
8.314800529814553,7.77
8.65372295317867,8.94
13.07526226328407,13.32
10.33906783079624,13.73
11.952130149997286,13.81
7.928973166162874,7.93
10.33906783079624,10.7
7.422048336690772,7.02
7.422048336690772,7.48
8.130850338311795,8.43
8.261845612870081,7.42
7.729044751571885,8.23
8.261845612870081,6.79
9.722593065450084,12.0
14.131194229053321,14.15
8.314800529814553,7.99
10.33906783079624,11.52
11.80547562842682,11.36
8.647158116039071,7.98
10.063157757789321,8.91
9.690532422121123,9.56
10.063157757789321,9.9
8.838500991560442,7.81
8.65372295317867,6.32
7.876390583580291,7.62
4.908717361832286,3.79
8.314800529814553,8.08
10.33906783079624,8.72
6.847809030818327,6.02
7.196060158230625,6.69
7.196060158230625,6.75
10.063157757789321,9.84
8.838500991560442,8.83
8.130850338311795,7.53
7.196060158230625,6.45
7.729044751571885,7.15
6.232584817412814,6.42
7.196060158230625,7.9
6.847809030818327,6.16
5.845962036792073,5.4
8.37238819504188,8.49
9.722593065450084,10.05
8.314800529814553,9.42
7.928973166162874,6.02
9.690532422121123,13.01
28.312690954534045,14.73
6.847809030818327,6.8
5.293904031143966,3.9
7.403709681732555,7.64
10.320419248802848,10.24
9.816413553865253,11.72
10.063157757789321,9.06
7.928973166162874,9.03
7.442365705469789,5.46
6.818063356781513,7.12
23.177253952123586,25.0
8.94238959906055,8.73
7.442365705469789,7.03
5.845962036792073,7.53
10.094164041259704,9.54
7.196060158230625,6.48
10.063157757789321,11.18
8.65372295317867,8.71
6.847809030818327,7.6
12.340301130079297,13.1
8.951461348633744,7.64
8.314800529814553,8.41
7.729044751571885,8.51
9.722593065450084,8.64
6.847809030818327,9.22
5.624792685669205,5.56
9.722593065450084,8.41
8.647158116039071,8.81
13.07526226328407,16.5
7.928973166162874,8.0
8.647158116039071,9.69
6.847809030818327,6.48
8.357658000181214,5.96
8.65372295317867,7.23
5.624792685669205,5.03
8.951461348633744,9.96
9.672293146801842,9.63
8.261845612870081,9.88
9.690532422121123,9.92
8.647158116039071,6.25
10.33906783079624,9.86
7.442365705469789,6.87
7.471160287870616,6.97
8.838500991560442,10.53
5.845962036792073,4.72
9.194089922432493,10.67
7.729044751571885,5.98
6.847809030818327,5.16
7.196060158230625,6.82
7.403709681732555,7.53
8.314800529814553,8.76
8.838500991560442,14.03
8.65372295317867,6.48
8.65372295317867,8.35
10.207087734522977,10.04
5.152225377957658,5.25
9.690532422121123,11.19
13.07526226328407,12.14
7.928973166162874,7.57
8.94238959906055,8.56
8.65372295317867,9.85
5.859735739536274,7.96
9.194089922432493,8.16
7.196060158230625,8.36
7.471160287870616,8.11
8.357658000181214,9.31
5.845962036792073,4.56
6.654232682963933,6.31
9.816413553865253,9.41
11.774241229453144,11.69
7.998970765669115,7.79
7.422048336690772,6.16
11.952130149997286,11.7
6.847809030818327,6.8
13.531362712763322,13.7
6.847809030818327,7.25
7.403709681732555,9.68
5.079606802827991,4.12
12.340301130079297,9.87
7.928973166162874,6.32
8.65372295317867,8.58
7.403709681732555,5.54
5.079606802827991,5.75
8.65372295317867,7.13
8.951461348633744,9.52
13.322521307511806,13.81
8.314800529814553,11.01
9.986005231155684,10.81
9.690532422121123,9.55
10.33906783079624,9.38
8.357658000181214,7.56
8.65372295317867,6.78
9.816413553865253,11.72
7.471160287870616,8.69
7.998970765669115,8.48
7.403709681732555,6.43
8.65372295317867,7.0
8.0875827440554,8.0
8.65372295317867,8.0
11.250020993718978,14.21
5.675107816297824,5.89
7.729044751571885,6.62
11.004325903428487,10.47
6.232584817412814,7.53
8.314800529814553,7.97
10.207087734522977,10.65
11.020143187870774,10.48
8.0875827440554,7.26
8.65372295317867,10.79
7.422048336690772,8.9
8.229357448427328,6.61
8.907936256119061,7.31
8.314800529814553,9.34
7.196060158230625,9.88
7.471160287870616,8.53
8.838500991560442,8.56
10.33906783079624,11.56
8.357658000181214,8.68
9.690532422121123,8.6
7.422048336690772,9.55
7.196060158230625,9.57
10.33906783079624,8.72
9.816413553865253,9.65
5.859735739536274,4.55
6.847809030818327,8.6
11.774241229453144,10.62
10.33906783079624,10.88
8.838500991560442,9.26
7.729044751571885,8.62
11.80547562842682,15.02
8.838500991560442,7.36
7.928973166162874,9.22
13.07526226328407,11.88
8.65372295317867,8.11
10.33906783079624,10.83
6.847809030818327,6.92
10.33906783079624,9.04
10.207087734522977,8.3
10.33906783079624,10.27
7.442365705469789,6.57
7.938334025210264,8.15
12.340301130079297,13.12
7.928973166162874,7.78
7.729044751571885,8.39
10.063157757789321,10.06
11.80547562842682,12.66
7.196060158230625,9.31
8.65372295317867,8.82
8.838500991560442,11.09
6.232584817412814,8.37
8.65372295317867,8.68
7.928973166162874,5.85
39.22955928608478,17.43
6.847809030818327,7.37
8.314800529814553,7.82
8.357658000181214,8.6
7.729044751571885,8.46
7.471160287870616,7.04
6.847809030818327,6.46
10.063157757789321,10.46
8.907936256119061,14.92
8.647158116039071,8.48
8.94238959906055,10.4
11.774241229453144,11.05
8.314800529814553,8.65
6.847809030818327,6.16
8.314800529814553,7.86
55.88523590657188,15.0
10.33906783079624,6.55
13.531362712763322,15.0
7.403709681732555,10.32
7.403709681732555,7.2
10.063157757789321,9.99
7.442365705469789,7.13
10.063157757789321,10.49
8.65372295317867,8.85
7.442365705469789,11.01
8.65372295317867,9.13
9.690532422121123,8.8
23.610823538680798,25.0
8.012574554436396,9.57
6.847809030818327,5.9
10.33906783079624,10.09
10.33906783079624,8.5
6.847809030818327,6.33
7.196060158230625,8.43
6.847809030818327,6.5
11.749349639187525,10.6
8.359532448427327,11.03
7.471160287870616,11.09
8.647158116039071,9.03
9.816413553865253,9.34
8.314800529814553,6.56
13.07526226328407,12.97
10.33906783079624,10.71
9.816413553865253,11.22
7.403709681732555,8.45
11.004325903428487,11.0
8.94238959906055,10.7
7.442365705469789,9.35
7.442365705469789,7.85
7.241809707992592,8.15
7.938334025210264,5.76
8.838500991560442,7.64
8.221011026403916,6.44
9.816413553865253,8.71
8.359532448427327,12.59
7.442365705469789,7.06
12.340301130079297,13.73
8.647158116039071,7.2
8.838500991560442,7.63
8.130850338311795,8.39
11.952130149997286,10.11
8.94238959906055,9.63
8.647158116039071,7.6
23.177253952123586,25.05
5.859735739536274,6.68
7.928973166162874,10.04
7.729044751571885,6.32
15.903943781153524,11.84
7.422048336690772,7.85
7.442365705469789,6.77
8.314800529814553,8.14
6.232584817412814,8.38
11.774241229453144,11.69
9.722593065450084,9.98
7.998970765669115,8.75
8.0875827440554,7.03
8.65372295317867,11.46
23.177253952123586,25.02
8.314800529814553,9.0
8.0875827440554,5.53
8.907936256119061,9.36
7.938334025210264,9.72
10.207087734522977,9.89
10.207087734522977,10.05
10.207087734522977,8.33
13.531362712763322,10.7
8.130850338311795,7.53
10.33906783079624,10.5
8.40933158718874,13.1
5.079606802827991,5.86
8.838500991560442,7.9
8.94238959906055,10.7
8.314800529814553,11.01
7.196060158230625,6.52
8.65372295317867,8.1
11.80547562842682,10.37
13.07526226328407,10.63
7.852588843319505,9.14
6.847809030818327,9.52
10.207087734522977,8.56
10.012576990414942,9.5
5.293904031143966,5.75
5.079606802827991,6.25
8.0875827440554,8.69
13.07526226328407,13.66
8.357658000181214,10.93
7.729044751571885,8.1
6.847809030818327,4.59
7.442365705469789,6.48
7.422048336690772,7.09
10.33906783079624,10.07
